can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,team_name
True,True,,,198869,0,0,0,0,0,2,3.8,,0,Benjamin,0.0,11,False,,,5.5,198869.jpg,2.9,False,White,0.8,False,,a,1,3,50,0,0,0,0,0.0,9.1,White,241.0,2021-07-30,1997-10-08,False,p198869,1195,0,2,5,13,0,0,0,2,0,0,0,211,247.6,162.6,100.0,51.0,0,13,0.46,1.30,1.76,16.88,225,82,197,51,222,72,237,72,,,,,,,0.03,0.0,0.1,0.13,1.27,0.98,136,15,486,197,142,41,208,70,0.98,0.38,Arsenal
True,True,,,206325,0,0,0,0,0,2,3.1,,0,Oleksandr,0.0,12,False,,,5.0,206325.jpg,2.7,False,Zinchenko,0.3,False,,a,1,3,40,0,0,0,0,0.0,8.0,Zinchenko,225.0,2022-07-22,1996-12-15,False,p206325,518,0,1,4,1,0,0,0,1,0,0,2,141,83.4,92.8,66.0,24.1,0,5,0.65,0.52,1.17,3.21,312,115,243,81,250,85,294,105,,,,,,,0.11,0.0,0.09,0.2,0.56,0.17,251,38,366,169,167,53,336,124,0.87,0.69,Arsenal
True,True,,,563324,0,0,0,0,0,2,1.5,,0,Brayden,0.0,13,False,,,4.0,563324.jpg,0.0,False,Clarke,0.7,False,,a,1,3,0,0,0,0,0,0.0,0.0,Clarke,,,,False,p563324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,473,189,464,188,438,184,473,189,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,649,204,103,62,476,189,228,78,0.0,0.0,Arsenal
True,True,,,588793,0,0,0,0,0,2,1.5,,0,Maldini,0.0,14,False,,,4.0,588793.jpg,0.0,False,Kacurri,0.3,False,,a,1,3,0,0,0,0,0,0.0,0.0,Kacurri,,,,False,p588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,479,192,470,191,446,189,479,192,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,659,211,113,69,482,192,369,146,0.0,0.0,Arsenal
True,True,,,499167,0,0,0,0,0,2,1.5,,0,Josh,0.0,15,False,,,4.0,499167.jpg,0.0,False,Nichols,0.3,False,,a,1,3,0,0,0,0,0,0.0,0.0,Nichols,241.0,2024-07-24,2006-07-26,False,p499167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,454,174,444,172,415,166,454,174,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,624,184,78,42,458,175,380,152,0.0,0.0,Arsenal
True,True,,,223340,0,0,0,0,0,3,3.5,,0,Bukayo,0.0,16,False,,,10.0,223340.jpg,5.1,False,Saka,16.2,False,,a,1,3,127,0,0,0,0,0.0,12.7,Saka,241.0,2018-11-28,2001-09-05,False,p223340,1724,6,11,7,21,0,0,0,3,0,0,18,508,606.0,842.8,830.0,227.9,0,20,6.87,7.78,14.65,17.72,87,36,16,15,23,13,14,10,1.0,,4.0,,1.0,,0.36,0.0,0.41,0.77,0.93,1.1,5,3,666,299,11,6,24,7,1.04,0.37,Arsenal
True,True,,,184029,0,0,0,0,0,3,3.1,,0,Martin,0.0,17,False,,,8.0,184029.jpg,3.9,False,Ødegaard,3.3,False,,a,1,3,116,0,0,0,0,0.0,14.5,Ødegaard,161.0,2021-08-20,1998-12-17,False,p184029,2321,3,9,11,21,0,0,0,4,0,0,11,529,524.6,968.7,493.0,198.8,0,26,4.85,6.68,11.53,22.16,113,46,7,7,63,43,32,25,3.0,,2.0,,2.0,,0.19,0.0,0.26,0.45,0.86,0.81,14,8,654,290,56,28,97,30,1.01,0.43,Arsenal
True,True,,,248857,0,0,0,0,0,3,2.8,,0,Noni,0.0,18,False,,,7.0,248857.jpg,3.8,False,Madueke,1.8,False,,a,1,3,120,0,0,0,0,0.0,17.1,Madueke,241.0,2025-07-18,2002-03-10,False,p248857,2028,7,5,6,28,0,0,0,3,0,0,12,425,479.2,475.1,998.0,195.3,0,27,9.62,2.86,12.48,29.55,130,54,73,59,11,5,37,29,,,,,,,0.43,0.0,0.13,0.56,1.31,1.24,36,24,636,280,63,31,136,43,1.2,0.27,Arsenal
True,True,,,444145,0,0,0,0,0,3,2.8,,0,Gabriel,0.0,19,False,,,7.0,444145.jpg,3.8,False,Martinelli Silva,1.4,False,,a,1,3,125,0,0,0,0,0.0,17.9,Martinelli,30.0,2019-07-15,2001-06-18,False,p444145,2284,8,4,10,25,0,0,0,1,0,0,6,422,559.8,587.8,912.0,206.1,0,25,7.13,4.46,11.59,26.22,103,41,51,44,16,8,26,21,,,,,,,0.28,0.0,0.18,0.46,1.03,0.99,39,26,639,282,64,32,159,53,0.99,0.39,Arsenal
True,True,,,116216,0,0,0,0,0,3,2.8,,0,Leandro,0.0,20,False,,,7.0,116216.jpg,4.0,False,Trossard,1.5,False,,a,1,3,152,0,0,0,0,0.0,21.7,Trossard,21.0,2023-01-20,1994-12-04,False,p116216,2546,8,8,11,27,0,0,0,2,1,0,18,561,609.0,617.6,798.0,202.1,0,28,6.74,4.12,10.86,24.76,84,33,49,42,25,14,29,23,,,,,4.0,,0.24,0.0,0.15,0.39,0.88,0.95,29,17,629,273,45,23,150,50,0.99,0.39,Arsenal
True,True,,,204480,0,0,0,0,0,3,2.7,,0,Declan,0.0,21,False,,,6.5,204480.jpg,3.6,False,Rice,7.4,False,,a,1,3,127,0,0,0,0,0.0,19.5,Rice,241.0,2023-07-15,1999-01-14,False,p204480,2823,4,7,11,29,0,0,0,5,1,0,17,627,733.0,959.6,399.0,208.8,0,33,3.51,5.64,9.14,27.13,44,12,9,9,80,56,24,19,2.0,,1.0,,,,0.11,0.0,0.18,0.29,0.86,0.92,51,36,603,254,79,39,57,17,1.05,0.35,Arsenal
True,True,,,195384,0,0,0,0,0,3,2.6,,0,Mikel,0.0,22,False,,,6.0,195384.jpg,3.3,False,Merino Zazón,0.9,False,,a,1,3,92,0,0,0,0,0.0,15.3,Merino,200.0,2024-08-27,1996-06-22,False,p195384,1575,7,2,4,17,0,0,0,2,1,0,8,326,456.8,265.8,511.0,123.3,0,17,5.75,1.18,6.93,15.71,136,57,137,96,58,40,99,65,,,,,,,0.33,0.0,0.07,0.4,0.9,0.97,88,62,570,233,112,53,196,68,0.97,0.23,Arsenal
True,True,,,438098,0,0,0,0,0,3,2.5,,0,Fábio,0.0,23,False,,,5.5,438098.jpg,0.0,False,Ferreira Vieira,0.1,False,,a,1,3,0,0,0,0,0,0.0,0.0,Fábio Vieira,173.0,2022-06-21,2000-05-30,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,649,288,649,288,646,285,649,288,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,167,109,517,200,649,288,633,275,0.0,0.0,Arsenal
True,True,,,128295,0,0,0,0,0,3,2.5,,0,Christian,0.0,24,False,,,5.5,128295.jpg,3.1,False,Nørgaard,0.7,False,,a,1,3,107,0,0,0,0,0.0,19.5,Nørgaard,58.0,2025-07-10,1994-03-10,False,p128295,2820,5,5,6,45,0,0,0,8,1,0,7,580,735.4,333.0,409.0,147.9,0,34,4.23,1.38,5.61,44.54,42,11,105,76,75,52,74,52,,,,,,,0.14,0.0,0.04,0.18,1.42,1.44,124,81,474,172,127,60,226,75,1.09,0.19,Arsenal
True,True,,,499175,0,0,0,0,0,3,2.5,,0,Ethan,0.0,25,False,,,5.5,499175.jpg,2.5,False,Nwaneri,0.5,False,,a,1,3,66,0,0,0,0,0.0,12.0,Nwaneri,241.0,2022-09-17,2007-03-21,False,p499175,882,4,2,4,4,0,0,0,1,0,0,4,251,293.2,282.8,255.0,83.0,0,11,1.19,1.78,2.97,5.38,203,96,130,91,115,79,161,89,4.0,,3.0,,,,0.12,0.0,0.18,0.3,0.55,0.41,189,121,539,212,189,81,266,87,1.12,0.41,Arsenal
True,True,,,481655,0,0,0,0,0,3,2.5,,0,Martín,0.0,26,False,,,5.5,481655.jpg,0.0,False,Zubimendi Ibáñez,1.8,False,,a,1,3,0,0,0,0,0,0.0,0.0,Zubimendi,200.0,2025-07-06,1999-02-02,False,p481655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,652,291,652,291,650,289,652,291,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,182,118,532,209,652,291,137,44,0.0,0.0,Arsenal
True,True,,,200641,0,0,0,0,0,3,2.0,,0,Reiss,0.0,27,False,,,5.0,200641.jpg,2.2,False,Nelson,0.2,False,,a,1,3,27,0,0,0,0,0.0,5.4,Nelson,241.0,2017-07-12,1999-12-10,False,p200641,483,1,1,1,9,0,0,0,1,0,0,2,143,131.6,223.9,195.0,55.1,0,5,1.07,0.96,2.03,6.13,287,136,158,110,156,102,226,120,,,,,,,0.2,0.0,0.18,0.38,1.14,1.68,246,156,361,100,220,96,436,142,0.93,0.19,Arsenal
True,True,,,588796,0,0,0,0,0,3,1.5,,0,Ismeal,0.0,28,False,,,4.5,588796.jpg,0.0,False,Kabia,0.3,False,,a,1,3,0,0,0,0,0,0.0,0.0,Kabia,152.0,2024-09-14,2005-12-10,False,p588796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,580,238,576,238,560,232,580,238,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,526,290,303,67,581,239,334,110,0.0,0.0,Arsenal
True,True,,,437742,0,0,0,0,0,3,1.5,,0,Albert,0.0,29,False,,,4.5,437742.jpg,0.0,False,Sambi Lokonga,0.2,False,,a,1,3,0,0,0,0,0,0.0,0.0,Sambi,21.0,2021-07-19,1999-10-22,False,p437742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,507,190,503,190,483,182,507,190,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,424,232,201,9,510,191,463,153,0.0,0.0,Arsenal
True,True,,,219847,0,0,0,0,0,4,2.9,,0,Kai,0.0,30,False,,,7.5,219847.jpg,4.2,False,Havertz,1.5,False,,a,1,3,97,0,0,0,0,0.0,12.9,Havertz,80.0,2023-06-28,1999-06-11,False,p219847,1872,9,3,7,20,0,0,0,5,0,0,14,343,467.6,269.0,711.0,144.8,0,21,9.53,1.65,11.18,19.32,135,15,134,15,33,14,76,15,,,,,,,0.46,0.0,0.08,0.54,0.93,0.96,22,10,646,62,35,9,153,28,1.01,0.34,Arsenal
True,True,0.0,,205651,0,0,0,0,0,4,0.0,,0,Gabriel,0.0,31,False,Knee injury - Unknown return date,2025-07-21T10:00:04.697564Z,6.5,205651.jpg,2.5,False,Fernando de Jesus,0.0,False,,i,1,3,42,0,0,0,0,0.0,6.5,G.Jesus,30.0,2022-07-04,1997-04-03,False,p205651,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,0,6,3.05,0.52,3.57,5.82,278,25,220,23,116,23,233,24,,,,,,,0.46,0.0,0.08,0.54,0.87,0.75,52,16,604,51,190,19,647,69,0.9,0.3,Arsenal
True,True,,,500040,0,0,0,0,0,2,3.8,,0,Cristhian,0.0,662,False,,,5.5,500040.jpg,0.0,False,Mosquera,0.1,False,,a,1,3,0,0,0,0,0,0.0,0.0,Mosquera,200.0,2025-07-24,2004-06-27,False,p500040,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,654,221,654,221,652,221,654,221,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,190,29,540,211,654,221,541,205,0.0,0.0,Arsenal
True,True,,,224117,0,0,0,0,0,4,3.3,,0,Viktor,0.0,666,False,,,9.0,224117.jpg,0.0,False,Gyökeres,23.4,False,,a,1,3,0,0,0,0,0,0.0,0.0,Gyökeres,206.0,2025-07-26,1998-06-04,False,p224117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,670,70,670,70,670,70,670,70,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8,4,665,68,670,70,14,3,0.0,0.0,Arsenal
True,True,0.0,,98980,0,0,0,0,0,1,0.0,,0,Emiliano,0.0,32,False,Suspended until 23 Aug,2025-07-21T10:00:04.758838Z,5.0,98980.jpg,3.0,False,Martínez Romero,0.5,False,,s,2,7,111,0,0,0,0,0.0,22.2,Martinez,10.0,2020-09-16,1992-09-02,False,p98980,3195,0,0,8,47,0,1,0,5,1,100,6,457,839.6,20.0,0.0,86.0,0,37,0.00,0.02,0.02,44.99,21,6,325,7,581,68,155,5,,,,,,,0.0,2.82,0.0,0.0,1.27,1.32,220,9,335,67,133,20,261,37,1.04,0.23,Aston Villa
True,True,,,72147,0,0,0,0,0,1,1.8,,0,Marco,0.0,33,False,,,4.5,72147.jpg,0.0,False,Bizot,0.3,False,,a,2,7,0,0,0,0,0,0.0,0.0,M.Bizot,152.0,2025-07-15,1991-03-10,False,p72147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,488,69,481,62,458,49,488,69,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,354,18,131,47,491,69,344,48,0.0,0.0,Aston Villa
True,True,,,462492,0,0,0,0,0,1,0.5,,0,Joe,0.0,34,False,,,4.0,462492.jpg,0.0,False,Gauci,1.0,False,,a,2,7,0,0,0,0,0,0.0,0.0,Gauci,13.0,2024-02-01,2000-07-04,False,p462492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,435,53,425,44,394,29,435,53,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,602,60,56,27,438,53,184,26,0.0,0.0,Aston Villa
True,False,0.0,,462381,0,0,0,0,0,1,0.0,,0,Filip,0.0,35,False,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,4.0,462381.jpg,0.0,False,Marschall,0.2,False,,u,2,7,0,0,0,0,0,0.0,0.0,Marschall,241.0,2021-12-13,2003-04-24,False,p462381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,434,52,424,43,393,28,434,52,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,601,59,55,26,437,52,424,56,0.0,0.0,Aston Villa
True,True,,,199796,0,0,0,0,0,2,1.4,,0,Matty,0.0,36,False,,,4.5,199796.jpg,2.8,False,Cash,1.6,False,,a,2,7,76,0,0,0,0,0.0,16.9,Cash,172.0,2020-09-03,1997-08-07,False,p199796,2069,1,1,7,22,0,0,0,7,0,0,2,286,359.2,181.0,171.0,71.3,0,24,0.48,1.23,1.71,28.64,173,61,185,43,170,38,191,60,,,,,,,0.02,0.0,0.05,0.07,1.25,0.96,385,86,162,106,153,46,144,50,1.04,0.3,Aston Villa
True,True,,,101188,0,0,0,0,0,2,1.4,,0,Lucas,0.0,37,False,,,4.5,101188.jpg,2.8,False,Digne,1.6,False,,a,2,7,89,0,0,0,0,0.0,19.8,Digne,73.0,2022-01-13,1993-07-20,False,p101188,2348,0,5,6,36,0,0,0,4,0,0,7,383,512.6,583.9,112.0,120.7,0,28,0.80,3.97,4.77,34.94,122,41,52,7,213,64,103,20,7.0,,2.0,,,,0.03,0.0,0.15,0.18,1.34,1.38,360,68,137,88,150,43,145,51,1.07,0.23,Aston Villa
True,True,,,199798,0,0,0,0,0,2,1.4,,0,Ezri,0.0,38,False,,,4.5,199798.jpg,3.0,False,Konsa Ngoyo,23.9,False,,a,2,7,103,0,0,0,0,0.0,22.9,Konsa,241.0,2019-07-11,1997-10-23,False,p199798,2936,2,0,8,45,0,0,0,1,0,0,10,448,532.8,123.9,166.0,82.4,0,33,1.29,0.61,1.90,43.82,112,39,217,63,172,40,163,48,,,,,,,0.04,0.0,0.02,0.06,1.34,1.38,386,87,163,107,130,36,13,5,1.01,0.25,Aston Villa
True,True,,,441302,0,0,0,0,0,2,1.4,,0,Ian,0.0,39,False,,,4.5,441302.jpg,2.0,False,Maatsen,1.0,False,,a,2,7,57,0,0,0,0,0.0,12.7,Maatsen,152.0,2024-06-28,2002-03-10,False,p441302,1125,1,2,3,16,0,0,0,2,0,0,0,204,252.0,293.4,197.0,74.3,0,10,0.87,2.43,3.30,17.31,223,81,125,25,153,28,187,56,,,,,,,0.07,0.0,0.19,0.26,1.38,1.28,429,115,206,135,242,85,187,60,0.8,0.24,Aston Villa
True,True,,,149484,0,0,0,0,0,2,1.4,,0,Tyrone,0.0,40,False,,,4.5,149484.jpg,3.4,False,Mings,0.5,False,,a,2,7,47,0,0,0,0,0.0,10.4,Mings,241.0,2019-07-08,1993-03-13,False,p149484,1119,0,1,4,11,0,0,0,1,0,0,5,207,220.4,49.2,74.0,34.6,0,12,0.88,0.23,1.11,13.20,233,84,279,102,242,81,272,95,,,,,,,0.07,0.0,0.02,0.09,1.06,0.88,373,78,150,98,95,17,263,94,0.97,0.32,Aston Villa
True,True,,,244954,0,0,0,0,0,2,1.4,,0,Pau,0.0,41,False,,,4.5,244954.jpg,2.3,False,Torres,0.4,False,,a,2,7,55,0,0,0,0,0.0,12.2,Pau,200.0,2023-07-12,1997-01-16,False,p244954,2019,0,0,5,33,0,0,0,2,0,0,3,254,350.6,84.5,102.0,54.0,0,23,0.51,0.43,0.94,29.69,181,64,247,85,218,68,232,69,,,,,,,0.02,0.0,0.02,0.04,1.32,1.47,419,112,196,132,205,71,285,101,1.03,0.22,Aston Villa
True,True,,,606798,0,0,0,0,0,2,0.5,,0,Andrés,0.0,42,False,,,4.0,606798.jpg,1.1,False,García,1.0,False,,a,2,7,8,0,0,0,0,0.0,2.0,A.García,200.0,2025-01-21,2003-02-07,False,p606798,316,0,0,0,5,0,0,0,0,0,0,0,26,45.6,68.4,7.0,12.0,0,5,0.04,0.49,0.53,6.49,333,124,262,91,326,124,323,119,,,,,,,0.01,0.0,0.14,0.15,1.85,1.42,664,216,118,74,332,117,192,63,1.42,0.0,Aston Villa
True,True,,,106468,0,0,0,0,0,2,0.5,,0,Álex,0.0,43,False,,,4.0,106468.jpg,2.3,False,Moreno Lopera,11.7,False,,a,2,7,34,0,0,0,0,0.0,8.5,Alex Moreno,200.0,2023-01-11,1993-06-08,False,p106468,952,0,1,3,16,0,0,0,2,0,0,1,126,200.8,134.5,29.0,36.4,0,11,0.17,1.10,1.27,13.94,250,92,211,60,290,104,266,91,,,,,,,0.02,0.0,0.1,0.12,1.32,1.51,559,145,13,3,203,69,36,13,1.04,0.28,Aston Villa
True,True,,,515597,0,0,0,0,0,2,0.5,,0,Lamare,0.0,44,False,,,4.0,515597.jpg,0.8,False,Bogarde,0.3,False,,a,2,7,6,0,0,0,0,0.0,1.5,Bogarde,152.0,2021-01-07,2004-01-05,False,p515597,473,0,0,0,11,0,0,0,2,0,0,0,22,84.8,33.3,15.0,13.3,0,5,0.04,0.13,0.17,9.28,311,114,303,115,310,115,319,116,,,,,,,0.01,0.0,0.02,0.03,1.77,2.09,630,188,84,46,383,135,338,125,0.95,0.0,Aston Villa
True,True,,,514315,0,0,0,0,0,2,0.5,,0,Lino,0.0,45,False,,,4.0,514315.jpg,0.0,False,da Cruz Sousa,0.3,False,,a,2,7,0,0,0,0,0,0.0,0.0,Sousa,,,,False,p514315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,456,175,446,173,419,168,456,175,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,628,186,82,44,460,176,323,119,0.0,0.0,Aston Villa
